Ligands,Receptors,source_combined
AT1G01900,AT2G02220,STRING
AT1G02640,AT4G13800,STRING
AT1G02790,AT4G14815,STRING
AT1G02810,AT1G11050,STRING
AT1G02810,AT3G54920,STRING
AT1G02900,AT1G30570,STRING
AT1G02900,AT2G20700,STRING
AT1G02900,AT3G04690,STRING
AT1G02900,AT3G46290,STRING
AT1G02900,AT3G51550,"STRING,IntAct,BIOGRID,literature"
AT1G02900,AT4G28280,STRING
AT1G02900,AT5G28680,STRING
AT1G02900,AT5G54380,STRING
AT1G02900,AT5G56170,STRING
AT1G04110,AT1G63700,STRING
AT1G04110,AT1G80080,STRING
AT1G04110,AT4G20940,STRING
AT1G04110,AT5G07180,STRING
AT1G04110,AT5G62230,STRING
AT1G05065,AT1G65380,literature
AT1G05065,AT2G23950,literature
AT1G05065,AT5G13290,literature
AT1G05260,AT2G01950,"IntAct,BIOGRID"
AT1G05850,AT2G22125,STRING
AT1G05850,AT3G15380,STRING
AT1G05850,AT4G12730,STRING
AT1G05850,AT4G23400,STRING
AT1G05850,AT5G15630,STRING
AT1G05850,AT5G60920,STRING
AT1G06225,AT1G21240,"IntAct,BIOGRID"
AT1G06225,AT1G75820,STRING
AT1G06225,AT2G23950,literature
AT1G06225,AT3G48890,"IntAct,BIOGRID"
AT1G06225,AT5G06320,"IntAct,BIOGRID"
AT1G07230,AT3G15730,STRING
AT1G07230,AT3G47220,STRING
AT1G07230,AT4G35790,STRING
AT1G07230,AT4G38530,STRING
AT1G07230,AT5G09350,STRING
AT1G07230,AT5G58670,STRING
AT1G07230,AT5G64070,STRING
AT1G09390,AT5G64080,STRING
AT1G11080,AT1G09790,STRING
AT1G11545,AT4G12730,STRING
AT1G11580,AT3G54920,STRING
AT1G11590,AT3G54920,STRING
AT1G12040,AT2G20520,STRING
AT1G12040,AT4G34580,STRING
AT1G12040,AT5G49270,STRING
AT1G12560,AT2G26420,STRING
AT1G12560,AT3G60280,STRING
AT1G12560,AT4G34580,STRING
AT1G12560,AT5G44610,STRING
AT1G12560,AT5G49270,STRING
AT1G13620,AT3G24240,literature
AT1G13620,AT4G26540,"STRING,literature"
AT1G13620,AT5G48940,literature
AT1G13750,AT2G01950,"IntAct,BIOGRID"
AT1G14700,AT1G18880,IntAct
AT1G14700,AT1G24400,"IntAct,BIOGRID"
AT1G14700,AT1G44100,"IntAct,BIOGRID"
AT1G14700,AT1G69850,"IntAct,BIOGRID"
AT1G14700,AT1G70300,"IntAct,BIOGRID"
AT1G14700,AT1G77380,"IntAct,BIOGRID"
AT1G14700,AT1G79670,"IntAct,BIOGRID"
AT1G14700,AT2G23200,IntAct
AT1G14700,AT2G23450,IntAct
AT1G14700,AT2G23980,"IntAct,BIOGRID"
AT1G14700,AT2G39060,IntAct
AT1G14700,AT2G41820,IntAct
AT1G14700,AT3G02880,IntAct
AT1G14700,AT3G17690,"IntAct,BIOGRID"
AT1G14700,AT3G45430,IntAct
AT1G14700,AT3G59740,IntAct
AT1G14700,AT4G10850,IntAct
AT1G14700,AT4G23220,"IntAct,BIOGRID"
AT1G14700,AT4G31110,IntAct
AT1G14700,AT4G34460,"IntAct,BIOGRID"
AT1G14700,AT5G01540,"IntAct,BIOGRID"
AT1G14700,AT5G10530,IntAct
AT1G14700,AT5G12480,"IntAct,BIOGRID"
AT1G14700,AT5G24010,IntAct
AT1G14700,AT5G48380,"IntAct,BIOGRID"
AT1G14700,AT5G49760,IntAct
AT1G14700,AT5G53130,"IntAct,BIOGRID"
AT1G14700,AT5G57940,"IntAct,BIOGRID"
AT1G14700,AT5G59700,IntAct
AT1G15000,AT1G08230,STRING
AT1G15020,AT1G24140,STRING
AT1G15020,AT1G59970,STRING
AT1G15020,AT1G70170,STRING
AT1G15020,AT2G45040,STRING
AT1G15020,AT4G16640,STRING
AT1G15190,AT1G19770,STRING
AT1G15190,AT2G24450,STRING
AT1G15190,AT3G46550,STRING
AT1G16950,AT1G72180,literature
AT1G16950,AT4G35580,IntAct
AT1G16950,AT5G49660,literature
AT1G19940,AT2G22125,STRING
AT1G19940,AT3G06035,STRING
AT1G19940,AT4G12730,STRING
AT1G19940,AT5G19230,STRING
AT1G19940,AT5G19240,STRING
AT1G19940,AT5G19250,STRING
AT1G21880,AT1G51940,STRING
AT1G21880,AT1G73080,STRING
AT1G21880,AT2G39660,STRING
AT1G21880,AT3G21630,STRING
AT1G21880,AT5G20480,STRING
AT1G22690,AT3G01500,STRING
AT1G22690,AT5G38990,STRING
AT1G22690,AT5G39000,STRING
AT1G25425,AT2G25790,literature
AT1G25425,AT5G56040,literature
AT1G26390,AT5G25260,STRING
AT1G26420,AT2G19190,STRING
AT1G26420,AT5G25260,STRING
AT1G26600,AT1G65380,literature
AT1G26600,AT1G75820,STRING
AT1G26600,AT2G23950,literature
AT1G26600,AT5G13290,literature
AT1G28270,AT1G30570,STRING
AT1G28270,AT2G20700,STRING
AT1G28270,AT2G21480,literature
AT1G28270,AT3G04690,STRING
AT1G28270,AT4G39110,literature
AT1G28290,AT1G68725,STRING
AT1G28290,AT2G04780,STRING
AT1G28290,AT2G14890,STRING
AT1G28490,AT1G04750,"STRING,interactome2.0"
AT1G28490,AT2G33120,"STRING,interactome2.0"
AT1G28490,AT3G07160,STRING
AT1G28490,AT3G11820,"STRING,BIOGRID"
AT1G28490,AT4G35100,"STRING,BIOGRID"
AT1G28490,AT5G08080,STRING
AT1G28490,AT5G58060,"STRING,interactome2.0"
AT1G28490,AT5G58180,STRING
AT1G29290,AT1G72180,literature
AT1G29290,AT5G49660,literature
AT1G29660,AT1G18280,STRING
AT1G29670,AT1G18280,STRING
AT1G30700,AT5G57090,STRING
AT1G30870,AT4G19680,STRING
AT1G30870,AT5G49270,STRING
AT1G31670,AT1G24140,STRING
AT1G31670,AT1G59970,STRING
AT1G31670,AT1G70170,STRING
AT1G31670,AT1G72180,literature
AT1G31670,AT2G45040,STRING
AT1G31670,AT4G16640,STRING
AT1G31670,AT5G49660,literature
AT1G32860,AT4G26690,STRING
AT1G32860,AT5G55480,STRING
AT1G34047,AT1G31820,STRING
AT1G34047,AT1G31830,STRING
AT1G34047,AT3G19553,STRING
AT1G34047,AT5G05630,STRING
AT1G34245,AT1G63700,STRING
AT1G34245,AT1G80080,"STRING,BIOGRID"
AT1G34245,AT2G02220,STRING
AT1G34245,AT2G26330,"STRING,BIOGRID,literature"
AT1G34245,AT5G07180,"STRING,literature"
AT1G34245,AT5G60880,STRING
AT1G34245,AT5G62230,"STRING,BIOGRID,literature"
AT1G34510,AT2G20520,STRING
AT1G35140,AT2G35980,STRING
AT1G36045,AT1G72180,literature
AT1G36045,AT5G49660,literature
AT1G47710,AT1G24140,STRING
AT1G47710,AT1G32090,STRING
AT1G47710,AT1G54280,STRING
