GeneID,Term,Type,Description
CLB1,GO:0005783,CC,Endoplasmic reticulum
CLB1,GO:0008289,MF,Lipid binding
Wiv-1,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
Wiv-1,GO:0005975,BP,Carbohydrate metabolic process
GA3ox1,GO:0009416,BP,Response to light stimulus
GA3ox1,GO:0009686,BP,Gibberellin biosynthetic process
GA3ox1,GO:0016707,MF,Gibberellin 3-beta-dioxygenase activity
3OH-2,GO:0009416,BP,Response to light stimulus
3OH-2,GO:0009686,BP,Gibberellin biosynthetic process
3OH-2,GO:0016707,MF,Gibberellin 3-beta-dioxygenase activity
Mdip1,GO:0005618,CC,Cell wall
Mdip1,GO:0009506,CC,Plasmodesma
Mdip1,GO:0010497,BP,Plasmodesmata-mediated intercellular transport
Mdip1,GO:0030145,MF,Manganese ion binding
Mdip1,GO:2000280,BP,Regulation of root development
ArcA1,GO:0001934,BP,Positive regulation of protein phosphorylation
ArcA1,GO:0005080,MF,Protein kinase C binding
ArcA1,GO:0005634,CC,Nucleus
ArcA1,GO:0005829,CC,Cytosol
ArcA1,GO:0043022,MF,Ribosome binding
ArcA1,GO:0045182,MF,Translation regulator activity
ArcA1,GO:0072344,BP,Rescue of stalled ribosome
ArcA2,GO:0001934,BP,Positive regulation of protein phosphorylation
ArcA2,GO:0005080,MF,Protein kinase C binding
ArcA2,GO:0005634,CC,Nucleus
ArcA2,GO:0005829,CC,Cytosol
ArcA2,GO:0043022,MF,Ribosome binding
ArcA2,GO:0045182,MF,Translation regulator activity
ArcA2,GO:0072344,BP,Rescue of stalled ribosome
PAP1,GO:0003993,MF,Acid phosphatase activity
PAP1,GO:0046872,MF,Metal ion binding
LOC543511,GO:0004553,MF,Hydrolase activity; hydrolyzing O-glycosyl compounds
LOC543511,GO:0005618,CC,Cell wall
LOC543511,GO:0010411,BP,Xyloglucan metabolic process
LOC543511,GO:0016762,MF,Xyloglucan:xyloglucosyl transferase activity
LOC543511,GO:0042546,BP,Cell wall biogenesis
LOC543511,GO:0048046,CC,Apoplast
copz1,GO:0006886,BP,Intracellular protein transport
copz1,GO:0006890,BP,Retrograde vesicle-mediated transport; Golgi to endoplasmic reticulum
copz1,GO:0006891,BP,Intra-Golgi vesicle-mediated transport
copz1,GO:0030126,CC,COPI vesicle coat
copz2,GO:0006886,BP,Intracellular protein transport
copz2,GO:0006890,BP,Retrograde vesicle-mediated transport; Golgi to endoplasmic reticulum
copz2,GO:0006891,BP,Intra-Golgi vesicle-mediated transport
copz2,GO:0030126,CC,COPI vesicle coat
XYL1,GO:0009044,MF,Xylan 1;4-beta-xylosidase activity
XYL1,GO:0009505,CC,Plant-type cell wall
XYL1,GO:0031222,BP,Arabinan catabolic process
XYL1,GO:0045493,BP,Xylan catabolic process
XYL1,GO:0046556,MF,Alpha-L-arabinofuranosidase activity
LOC543515,GO:0009044,MF,Xylan 1;4-beta-xylosidase activity
LOC543515,GO:0009505,CC,Plant-type cell wall
LOC543515,GO:0031222,BP,Arabinan catabolic process
LOC543515,GO:0045493,BP,Xylan catabolic process
LOC543515,GO:0046556,MF,Alpha-L-arabinofuranosidase activity
sps,GO:0005985,BP,Sucrose metabolic process
sps,GO:0016157,MF,Sucrose synthase activity
sps,GO:0046524,MF,Sucrose-phosphate synthase activity
LOC543517,GO:0046373,BP,L-arabinose metabolic process
LOC543517,GO:0046556,MF,Alpha-L-arabinofuranosidase activity
EIL4,GO:0003677,MF,DNA binding
EIL4,GO:0003700,MF,DNA-binding transcription factor activity
EIL4,GO:0005634,CC,Nucleus
T6,GO:0000978,MF,RNA polymerase II cis-regulatory region sequence-specific DNA binding
T6,GO:0000981,MF,DNA-binding transcription factor activity; RNA polymerase II-specific
T6,GO:0005634,CC,Nucleus
T6,GO:0006357,BP,Regulation of transcription by RNA polymerase II
T12,GO:0000978,MF,RNA polymerase II cis-regulatory region sequence-specific DNA binding
T12,GO:0000981,MF,DNA-binding transcription factor activity; RNA polymerase II-specific
T12,GO:0005634,CC,Nucleus
T12,GO:0006357,BP,Regulation of transcription by RNA polymerase II
ME2,GO:0004473,MF,Malate dehydrogenase (decarboxylating) (NADP+) activity
ME2,GO:0006090,BP,Pyruvate metabolic process
ME2,GO:0006108,BP,Malate metabolic process
ME2,GO:0009507,CC,Chloroplast
ME2,GO:0051287,MF,NAD binding
LOC543525,GO:0016020,CC,Membrane
LOC543525,GO:0033179,CC,Proton-transporting V-type ATPase; V0 domain
LOC543525,GO:0046961,MF,Proton-transporting ATPase activity; rotational mechanism
LOC543525,GO:1902600,BP,Proton transmembrane transport
JA2,GO:0003677,MF,DNA binding
JA2,GO:0006355,BP,Regulation of DNA-templated transcription
JA2,GO:0048731,BP,System development
LEJA1,GO:0000981,MF,DNA-binding transcription factor activity; RNA polymerase II-specific
LEJA1,GO:0005634,CC,Nucleus
LEJA1,GO:0043565,MF,Sequence-specific DNA binding
LEJA1,GO:0045893,BP,Positive regulation of DNA-templated transcription
AAP3,GO:0003333,BP,Amino acid transmembrane transport
AAP3,GO:0015171,MF,Amino acid transmembrane transporter activity
AAP3,GO:0016020,CC,Membrane
AAP1,GO:0003333,BP,Amino acid transmembrane transport
AAP1,GO:0015171,MF,Amino acid transmembrane transporter activity
AAP1,GO:0016020,CC,Membrane
ProT1,GO:0003333,BP,Amino acid transmembrane transport
ProT1,GO:0015171,MF,Amino acid transmembrane transporter activity
ProT1,GO:0016020,CC,Membrane
ProT2,GO:0003333,BP,Amino acid transmembrane transport
ProT2,GO:0015171,MF,Amino acid transmembrane transporter activity
ProT2,GO:0016020,CC,Membrane
ProT3,GO:0003333,BP,Amino acid transmembrane transport
ProT3,GO:0015171,MF,Amino acid transmembrane transporter activity
ProT3,GO:0016020,CC,Membrane
OPT1,GO:0006857,BP,Oligopeptide transport
OPT1,GO:0009705,CC,Plant-type vacuole membrane
OPT1,GO:0022857,MF,Transmembrane transporter activity
OPT1,GO:0055085,BP,Transmembrane transport
MSI1,GO:0005634,CC,Nucleus
MSI1,GO:0006338,BP,Chromatin remodeling
MSI1,GO:0006355,BP,Regulation of DNA-templated transcription
MSI1,GO:0031491,MF,Nucleosome binding
MSI1,GO:0042393,MF,Histone binding
Kap-alpha1,GO:0005515,MF,Protein binding
Kap-alpha1,GO:0005634,CC,Nucleus
Kap-alpha1,GO:0005737,CC,Cytoplasm
Kap-alpha1,GO:0006607,BP,NLS-bearing protein import into nucleus
Kap-alpha1,GO:0008139,MF,Nuclear localization sequence binding
Kap-alpha1,GO:0061608,MF,Nuclear import signal receptor activity
GSH1,GO:0004357,MF,Glutamate-cysteine ligase activity
GSH1,GO:0006750,BP,Glutathione biosynthetic process
GSH1,GO:0042398,BP,Modified amino acid biosynthetic process
GSH2,GO:0004363,MF,Glutathione synthase activity
GSH2,GO:0005524,MF,ATP binding
GSH2,GO:0005829,CC,Cytosol
GSH2,GO:0006750,BP,Glutathione biosynthetic process
GSH2,GO:0043295,MF,Glutathione binding
IAA3,GO:0005515,MF,Protein binding
IAA3,GO:0005634,CC,Nucleus
IAA3,GO:0006355,BP,Regulation of DNA-templated transcription
IAA27,GO:0005515,MF,Protein binding
IAA27,GO:0005634,CC,Nucleus
IAA27,GO:0006355,BP,Regulation of DNA-templated transcription
IAA7,GO:0005515,MF,Protein binding
IAA7,GO:0005634,CC,Nucleus
IAA7,GO:0006355,BP,Regulation of DNA-templated transcription
IAA16,GO:0005515,MF,Protein binding
IAA16,GO:0005634,CC,Nucleus
IAA16,GO:0006355,BP,Regulation of DNA-templated transcription
IAA17,GO:0005515,MF,Protein binding
IAA17,GO:0005634,CC,Nucleus
IAA17,GO:0006355,BP,Regulation of DNA-templated transcription
PT2,GO:0005315,MF,Phosphate transmembrane transporter activity
PT2,GO:0006817,BP,Phosphate ion transport
PT2,GO:0016020,CC,Membrane
PT2,GO:0055085,BP,Transmembrane transport
COP1,GO:0005515,MF,Protein binding
COP1,GO:0043161,BP,Proteasome-mediated ubiquitin-dependent protein catabolic process
COP1,GO:0061630,MF,Ubiquitin protein ligase activity
LOC543548,GO:0003855,MF,3-dehydroquinate dehydratase activity
LOC543548,GO:0004764,MF,Shikimate 3-dehydrogenase (NADP+) activity
LOC543548,GO:0009423,BP,Chorismate biosynthetic process
LOC543548,GO:0019632,BP,Shikimate metabolic process
LOC543548,GO:0050661,MF,NADP binding
SSTLE1,GO:0000287,MF,Magnesium ion binding
SSTLE1,GO:0010333,MF,Terpene synthase activity
SSTLE1,GO:0016102,BP,Diterpenoid biosynthetic process
FPPS1,GO:0004161,MF,Dimethylallyltranstransferase activity
FPPS1,GO:0004337,MF,Geranyltranstransferase activity
FPPS1,GO:0005737,CC,Cytoplasm
FPPS1,GO:0045337,BP,Farnesyl diphosphate biosynthetic process
GA20ox1,GO:0009416,BP,Response to light stimulus
GA20ox1,GO:0009686,BP,Gibberellin biosynthetic process
GA20ox1,GO:0009826,BP,Unidimensional cell growth
GA20ox1,GO:0009908,BP,Flower development
GA20ox1,GO:0045544,MF,Gibberellin 20-oxidase activity
LCA1,GO:0005388,MF,P-type calcium transporter activity
LCA1,GO:0005524,MF,ATP binding
